ridership,route_id,route_name,route_type,service_period,day
14041,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2012,weekday
12795,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2012,weekday
14118,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Fall 2012,weekday
13634,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2013,weekday
12875,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2013,weekday
12459,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Fall 2013,weekday
7950,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2014,weekday
7000,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2014,weekday
6741,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Fall 2014,weekday
6227,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2015,weekday
6037,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2015,weekday
1139,2,2-ROSEWOOD,Local,Spring 2012,weekday
1129,2,2-ROSEWOOD,Local,Summer 2012,weekday
1230,2,2-ROSEWOOD,Local,Fall 2012,weekday
1100,2,2-ROSEWOOD,Local,Spring 2013,weekday
1102,2,2-ROSEWOOD,Local,Summer 2013,weekday
1122,2,2-ROSEWOOD,Local,Fall 2013,weekday
1040,2,2-ROSEWOOD,Local,Spring 2014,weekday
973,2,2-ROSEWOOD,Local,Summer 2014,weekday
1034,2,2-ROSEWOOD,Local,Fall 2014,weekday
910,2,2-ROSEWOOD,Local,Spring 2015,weekday
889,2,2-ROSEWOOD,Local,Summer 2015,weekday
5039,3,3-BURNET/MANCHACA,Local,Spring 2012,weekday
4869,3,3-BURNET/MANCHACA,Local,Summer 2012,weekday
5271,3,3-BURNET/MANCHACA,Local,Fall 2012,weekday
5231,3,3-BURNET/MANCHACA,Local,Spring 2013,weekday
4878,3,3-BURNET/MANCHACA,Local,Summer 2013,weekday
5311,3,3-BURNET/MANCHACA,Local,Fall 2013,weekday
5313,3,3-BURNET/MANCHACA,Local,Spring 2014,weekday
5024,3,3-BURNET/MANCHACA,Local,Summer 2014,weekday
4206,3,3-BURNET/MANCHACA,Local,Fall 2014,weekday
4121,3,3-BURNET/MANCHACA,Local,Spring 2015,weekday
3969,3,3-BURNET/MANCHACA,Local,Summer 2015,weekday
1550,4,4-MONTOPOLIS,Local,Spring 2012,weekday
1621,4,4-MONTOPOLIS,Local,Summer 2012,weekday
1674,4,4-MONTOPOLIS,Local,Fall 2012,weekday
1558,4,4-MONTOPOLIS,Local,Spring 2013,weekday
1634,4,4-MONTOPOLIS,Local,Summer 2013,weekday
1518,4,4-MONTOPOLIS,Local,Fall 2013,weekday
1711,4,4-MONTOPOLIS,Local,Spring 2014,weekday
1558,4,4-MONTOPOLIS,Local,Summer 2014,weekday
1484,4,4-MONTOPOLIS,Local,Fall 2014,weekday
1399,4,4-MONTOPOLIS,Local,Spring 2015,weekday
1358,4,4-MONTOPOLIS,Local,Summer 2015,weekday
2351,5,5-WOODROW/SOUTH 5TH,Local,Spring 2012,weekday
2162,5,5-WOODROW/SOUTH 5TH,Local,Summer 2012,weekday
2677,5,5-WOODROW/SOUTH 5TH,Local,Fall 2012,weekday
2773,5,5-WOODROW/SOUTH 5TH,Local,Spring 2013,weekday
2503,5,5-WOODROW/SOUTH 5TH,Local,Summer 2013,weekday
2770,5,5-WOODROW/SOUTH 5TH,Local,Fall 2013,weekday
2893,5,5-WOODROW/SOUTH 5TH,Local,Spring 2014,weekday
