ridership,route_id,route_name,route_type,service_period,day
42.0,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2012,weekday
38.0,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2012,weekday
41.9,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Fall 2012,weekday
40.5,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2013,weekday
38.3,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2013,weekday
37.0,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Fall 2013,weekday
46.8,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2014,weekday
37.7,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2014,weekday
36.3,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Fall 2014,weekday
33.6,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Spring 2015,weekday
32.5,1,1-NORTH LAMAR/SOUTH CONGRESS,Local,Summer 2015,weekday
30.2,2,2-ROSEWOOD,Local,Spring 2012,weekday
29.9,2,2-ROSEWOOD,Local,Summer 2012,weekday
32.6,2,2-ROSEWOOD,Local,Fall 2012,weekday
29.2,2,2-ROSEWOOD,Local,Spring 2013,weekday
29.2,2,2-ROSEWOOD,Local,Summer 2013,weekday
29.7,2,2-ROSEWOOD,Local,Fall 2013,weekday
27.6,2,2-ROSEWOOD,Local,Spring 2014,weekday
25.8,2,2-ROSEWOOD,Local,Summer 2014,weekday
27.4,2,2-ROSEWOOD,Local,Fall 2014,weekday
23.2,2,2-ROSEWOOD,Local,Spring 2015,weekday
22.7,2,2-ROSEWOOD,Local,Summer 2015,weekday
31.3,3,3-BURNET/MANCHACA,Local,Spring 2012,weekday
30.3,3,3-BURNET/MANCHACA,Local,Summer 2012,weekday
32.8,3,3-BURNET/MANCHACA,Local,Fall 2012,weekday
32.9,3,3-BURNET/MANCHACA,Local,Spring 2013,weekday
30.7,3,3-BURNET/MANCHACA,Local,Summer 2013,weekday
33.4,3,3-BURNET/MANCHACA,Local,Fall 2013,weekday
33.4,3,3-BURNET/MANCHACA,Local,Spring 2014,weekday
30.9,3,3-BURNET/MANCHACA,Local,Summer 2014,weekday
30.5,3,3-BURNET/MANCHACA,Local,Fall 2014,weekday
29.4,3,3-BURNET/MANCHACA,Local,Spring 2015,weekday
28.3,3,3-BURNET/MANCHACA,Local,Summer 2015,weekday
25.7,4,4-MONTOPOLIS,Local,Spring 2012,weekday
27.3,4,4-MONTOPOLIS,Local,Summer 2012,weekday
27.2,4,4-MONTOPOLIS,Local,Fall 2012,weekday
25.3,4,4-MONTOPOLIS,Local,Spring 2013,weekday
26.9,4,4-MONTOPOLIS,Local,Summer 2013,weekday
24.7,4,4-MONTOPOLIS,Local,Fall 2013,weekday
27.8,4,4-MONTOPOLIS,Local,Spring 2014,weekday
25.7,4,4-MONTOPOLIS,Local,Summer 2014,weekday
24.1,4,4-MONTOPOLIS,Local,Fall 2014,weekday
22.7,4,4-MONTOPOLIS,Local,Spring 2015,weekday
22.4,4,4-MONTOPOLIS,Local,Summer 2015,weekday
22.3,5,5-WOODROW/SOUTH 5TH,Local,Spring 2012,weekday
20.9,5,5-WOODROW/SOUTH 5TH,Local,Summer 2012,weekday
25.2,5,5-WOODROW/SOUTH 5TH,Local,Fall 2012,weekday
23.3,5,5-WOODROW/SOUTH 5TH,Local,Spring 2013,weekday
21.6,5,5-WOODROW/SOUTH 5TH,Local,Summer 2013,weekday
23.3,5,5-WOODROW/SOUTH 5TH,Local,Fall 2013,weekday
24.4,5,5-WOODROW/SOUTH 5TH,Local,Spring 2014,weekday
21.9,5,5-WOODROW/SOUTH 5TH,Local,Summer 2014,weekday
22.4,5,5-WOODROW/SOUTH 5TH,Local,Fall 2014,weekday
20.1,5,5-WOODROW/SOUTH 5TH,Local,Spring 2015,weekday
19.2,5,5-WOODROW/SOUTH 5TH,Local,Summer 2015,weekday
22.7,6,6-EAST 12TH,Local,Spring 2012,weekday
21.2,6,6-EAST 12TH,Local,Summer 2012,weekday
20.5,6,6-EAST 12TH,Local,Fall 2012,weekday
